📥  LANETKEL — SPONSOR & DIŞ GELİR TABLOSU,,,,,,,,,,,,,,,,,
"Toplam 68 anlaşma  ·  $371,199 toplam gelir  ·  Firma bazlı + Ay bazlı + Tarih detayı",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
📊  AY BAZLI GELİR ÖZETİ,,,,,,,,,,,,,,,,,
#,Dönem,,,Oca,Şub,Mar,Nis,May,Haz,Tem,Ağu,Eyl,Eki,Kas,Ara,"YILLIK
TOPLAM",Anlaşma Sayısı
4,14.03.2025,Tarafbet,Website,,❌ Sona Erdi,cb809406b6577870527944127de6e092f3bc86311cea6492d2e1e56f08bd3031,,,,,,,,,,,
5,14.03.2025,Bankobet,Website,,❌ Sona Erdi,9b5a2fc6bd85da69fe4ac185259f382aa4451aa878fe510e032f139e20d7adc6,,,,,,,,,,,
6,14.03.2025,Betewin,Website,,❌ Sona Erdi,406caf6d445e80fc02e0e6424c6e7d980982e4f2e0fb7996fb813a02f9c00cf3,,,,,,,,,,,
7,20.03.2025,TRbet,Website+SosyalMedya+Telegram,4.000 $,❌ Sona Erdi,9ce4317c670265fa967a2580864e694fa3928f52e191bdb1392d5b00b00c861e,,,,,,,,,,,
8,20.03.2025,Bettilt,Website+SosyalMedya+Telegram,5.000 $,❌ Sona Erdi,0eaa847d329e3bf8795b73f8a3bba2ac30cb48d94fab4a9670b25f04d7652125,,,,,,,,,,,
9,01.04.2025,Grandpashabet,Website,4.000 $,❌ Sona Erdi,49d7fd20c60d3c57b6309c577eed0e7d41821bb2833ea4b099e69cb2bd74b1da,,,,,,,,,,,
10,02.04.2025,Pusulabet,Website,5.000 $,❌ Sona Erdi,3a736e613300c664dd4fa9e9b34220a2ea7155df3195ec4409390c25b1e36397,,,,,,,,,,,
11,22.04.2025,Endorphina,Oyun Tanıtımı,2.500 $,❌ Sona Erdi,187852e84873c1239b808d8a26bf3ec0802a805e38b6cc931e504d386fd464ce,,,,,,,,,,,
12,23.04.2025,TRbet,Website+SosyalMedya+Telegram,4.000 $,❌ Sona Erdi,a8afe956484455b7253efe56df0cf614b365e564502688aeec469fafb1d1a162,,,,,,,,,,,
13,02.05.2025,Grandpashabet,Website,4.000 $,❌ Sona Erdi,e880e4200fe94840d7b3730ff67770cabaaab31e96735af1ee5c7c5272f0d532,,,,,,,,,,,
14,04.05.2025,NYC Bahis,Website,5.000 $,❌ Sona Erdi,83376b4ae4ccaab14cceab982bfff8d9cccf3174d8bcc51057268fc723d31b50,,,,,,,,,,,
15,10.05.2025,Pusulabet,Website,5.000 $,❌ Sona Erdi,73a05c9ee79b7fc5f5abc3c4d371c77676b1906a6c1363df61288bbb001453c9,,,,,,,,,,,
16,19.05.2025,Endorphina,Oyun Tanıtımı,2.000 $,❌ Sona Erdi,4f99ea045733e9ac325b15fff144bd09e4a16976fd8fd9f19207a2d1af76615a,,,,,,,,,,,
17,12.06.2025,Pusulabet,Website,5.000 $,❌ Sona Erdi,00133a0ef63802bbe4463da4b7ba91ff53bb3ac3ac4c44435628b94b3744a109,,,,,,,,,,,
18,26.06.2025,MistyCasino,Website,6.000 $,❌ Sona Erdi,a1961aca5148cd9f3f1c72831020fca51525e09a3dd217143c9146548c20d942,,,,,,,,,,,
19,07.07.2025,TRbet,Website+SosyalMedya+Telegram,4.000 $,❌ Sona Erdi,fa53e8d0d78182be20e81278457e64ff8c4c63b0442c90ec9a3f3042b3b0c15b,,,,,,,,,,,
20,02.07.2025,MersoBahis,Website,4.000 $,❌ Sona Erdi,6a8335a46efe0aaa38b56cc4325fb89f1120f49e4bee4494d20915456e7e5457,,,,,,,,,,,
21,12.07.2025,Grandpashabet,Website,2.000 $,❌ Sona Erdi,fc8b70356ca3d1fb0c89ba838ddda4099fa4cc430f968ab3ef12c50062882759,,,,,,,,,,,
22,14.07.2025,Pusulabet,Website,3.500 $,❌ Sona Erdi,e39f54f30dc281a30627ba2751c155deac597adcb3cfb6fa3edbaa0154209ddd,,,,,,,,,,,
23,18.07.2025,Madridbet,Website,4.000 $,❌ Sona Erdi,9414cea5d7792552d13b45c5e7027aa30c4313b3f4db69c60380d41f99b2a2c6,,,,,,,,,,,
24,21.07.2025,PasaCasino,Website VIP,17.000 $,❌ Sona Erdi,13318aa404f19e903d2314cb24ab652d244c84c1249e0846eeb0cd641f9ca849,,,,,,,,,,,
25,21.07.2025,Oslobet,Website,,❌ Sona Erdi,53d0a9705324db41741a1e5f575da962c78af84001574d162a522879a7e74375,,,,,,,,,,,
